着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,後3F,コーナー通過順,厩舎,馬体重(増減),date,race_type,course_ren,weather,ground_state,horse_id,jockey_id
202101010105,7,7,10,ナバロン,牡2,54.0,菱田,0:57.8,3/4,6.0,28.6,33.4,9-9,栗東杉山佳,474(0),2021年6月12日,芝,1000,曇,良,2019102456,01144
202101010105,8,8,12,リブラソナチネ,牝2,54.0,大庭,0:57.9,クビ,12.0,104.6,34.4,2-2,美浦松永康,370(0),2021年6月12日,芝,1000,曇,良,2019100985,01061
202101010105,9,3,3,オーシンプラス,牡2,54.0,古川吉,0:58.1,1.1/4,9.0,63.7,33.4,10-9,栗東宮,448(0),2021年6月12日,芝,1000,曇,良,2019103276,01015
202101010105,10,5,7,ミンナノユメミノル,牡2,54.0,菊沢,0:58.1,クビ,10.0,65.8,34.5,4-5,美浦天間,470(0),2021年6月12日,芝,1000,曇,良,2019106490,01161
202101010105,11,4,5,ダイチスマイル,牡2,52.0,△秋山稔,0:58.9,5,11.0,88.1,33.7,11-11,美浦蛯名利,424(0),2021年6月12日,芝,1000,曇,良,2019102467,01181
202101010105,12,6,9,ミスリチャード,牝2,52.0,△泉谷,1:00.9,大,7.0,36.1,34.2,12-12,栗東村山,416(0),2021年6月12日,芝,1000,曇,良,2019106524,01182
202101010105,除外,6,8,ヴィルチュオーズ,牝2,54.0,武豊,,,,,,,栗東武幸,414(0),2021年6月12日,芝,1000,曇,良,2019105105,00666
202101010106,1,4,6,メルテミア,牡3,53.0,▲横山琉,1:48.5,,2.0,6.0,39.2,2-2-2-1,栗東鈴木孝,442(-8),2021年6月12日,ダ,1700,曇,良,2018103266,01192
202101010106,2,6,9,タスマンハイウェイ,牡3,56.0,横山武,1:48.7,1.1/2,1.0,1.9,39.3,10-8-3-3,美浦新開,522(-4),2021年6月12日,ダ,1700,曇,良,2018105036,01170
202101010106,3,8,14,メイショウケンジャ,牡3,56.0,菱田,1:49.0,1.3/4,3.0,6.6,39.0,8-5-5-6,栗東高橋亮,494(+6),2021年6月12日,ダ,1700,曇,良,2018106496,01144
202101010106,4,8,13,アトラスエース,牡3,56.0,黛,1:49.2,1,14.0,252.9,39.1,7-8-5-5,美浦伊藤伸,486(+10),2021年6月12日,ダ,1700,曇,良,2018103702,01109
202101010106,5,5,7,ガレア,牡3,54.0,△泉谷,1:49.2,アタマ,4.0,9.9,38.4,11-11-11-9,美浦田中清,464(0),2021年6月12日,ダ,1700,曇,良,2018104311,01182
202101010106,6,3,4,アブルマドール,牡3,56.0,横山和,1:49.4,1.1/4,5.0,12.8,39.7,13-11-4-4,栗東安田翔,484(+14),2021年6月12日,ダ,1700,曇,良,2018105010,01140
202101010106,7,2,2,クツワノセキトリ,牡3,56.0,丹内,1:49.5,3/4,8.0,18.5,40.3,1-1-1-2,美浦岩戸,462(+8),2021年6月12日,ダ,1700,曇,良,2018104211,01091
202101010106,8,7,12,クリノハーベスト,牡3,52.0,★永島,1:49.6,3/4,11.0,140.7,39.0,4-5-9-7,栗東高橋康,492(+8),2021年6月12日,ダ,1700,曇,良,2018100857,01187
