,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
2018101447,2021/02/14,2小倉2,晴,2.0,3歳未勝利,,18.0,8.0,17,42.2,12,13,丹内祐次,56,芝1200,良,**,1:09.2,1.0,**,5-5,32.4-35.8,35.9,502(+10),,,タガノスペルノヴァ,,,,,,,
2018101447,2021/01/16,1小倉1,曇,2.0,3歳未勝利,,18.0,6.0,11,16.1,8,10,丹内祐次,56,芝1200,良,**,1:08.8,1.7,**,2-3,33.2-33.9,35.4,492(+6),,,スティクス,,,,,,,
2018101447,2020/11/14,3福島5,晴,4.0,2歳未勝利,,16.0,5.0,10,7.3,4,10,丹内祐次,55,芝1200,良,**,1:10.7,0.8,**,10-8,34.0-35.9,36.0,486(-8),,,ネクストストーリー,,,,,,,
2018101447,2020/10/25,4新潟6,晴,1.0,2歳未勝利,,13.0,1.0,1,7.5,3,5,丹内祐次,55,芝1400,重,**,1:24.8,0.6,**,1-1,33.9-38.6,39.2,494(+2),,,ダブルスナッチ,51.0,,,,,,
2018101447,2020/10/11,4東京2,曇,4.0,2歳新馬,,18.0,8.0,16,9.6,4,5,柴田大知,55,芝1400,重,**,1:24.5,0.2,**,3-3,36.9-35.2,35.2,492(0),,,ジャガード,70.0,,,,,,
2018109106,2022/04/03,水沢,晴,1.0,HORSE&HOPE,,7.0,1.0,1,6.0,2,7,鈴木祐,54,ダ1300,良,**,1:28.7,3.6,**,1-1-1-3,0.0-41.1,44.7,464(+18),,,ベルシャダンディ,,,,,,,
2018109106,2021/06/27,1札幌6,晴,6.0,3歳未勝利,,13.0,3.0,3,81.8,10,13,荻野琢真,54,ダ1700,良,**,1:55.5,6.1,**,8-7-10-12,31.1-40.7,45.2,446(+4),,,マテンロウスタイル,,,,,,,
2018109106,2021/06/12,1札幌1,小雨,1.0,3歳未勝利,,16.0,8.0,15,56.9,10,13,荻野琢真,54,芝1200,良,**,1:09.9,1.2,**,12-12,33.8-34.9,34.8,442(+8),,,ディーバサンライズ,,,,,,,
2018109106,2021/03/27,2阪神1,晴,2.0,3歳未勝利,,17.0,1.0,1,172.8,13,11,国分恭介,54,芝1600,良,**,1:36.0,1.5,**,1-2,36.4-33.4,34.8,434(-4),,,リッケンバッカー,,,,,,,
2018109106,2020/08/29,2小倉5,晴,5.0,2歳新馬,,17.0,5.0,10,34.0,10,16,和田竜二,54,芝2000,良,**,2:07.5,4.3,**,5-5-6-13,36.6-36.9,40.7,438(0),,,コートダルジャン,,,,,,,
2018106896,2022/01/04,園田,曇,9.0,C2,,12.0,3.0,3,52.9,9,10,田村直也,54,ダ1230,良,**,1:23.2,2.6,**,4-5-7-7,0.0-39.0,41.0,432(+4),,,シルクハット,,,,,,,
2018106896,2021/12/03,園田,晴,12.0,C2,,12.0,6.0,8,139.0,11,7,田村直也,54,ダ820,稍,**,0:51.8,1.1,**,9-8,0.0-36.8,37.1,428(-6),,,ミヤビアーク,,,,,,,
2018106896,2021/11/10,園田,曇,9.0,C2C3,,12.0,3.0,3,35.2,6,5,田村直也,55,ダ820,重,**,0:52.2,0.7,**,7-7,0.0-37.4,37.5,434(+4),,,メイショウマサカツ,7.0,,,,,,
2018106896,2021/10/22,園田,曇,7.0,C2二,,12.0,6.0,7,166.3,11,6,田村直也,54,ダ1400,良,**,1:34.1,1.5,**,1-1-4-3,0.0-39.5,41.0,430(0),,,ブーケドフルール,,,,,,,
2018106896,2021/10/08,園田,晴,8.0,C2二,,10.0,1.0,1,42.3,7,9,田村直也,54,ダ1400,良,**,1:34.5,2.7,**,1-1-3-5,0.0-39.4,42.1,430(-6),,,バクシンクイン,,,,,,,
2018106896,2021/08/28,2札幌5,晴,3.0,3歳未勝利,,12.0,7.0,10,109.5,11,10,加藤祥太,54,ダ1000,良,**,1:01.8,2.4,**,6-6,34.7-36.3,38.0,436(+14),,,レイワプリンセス,,,,,,,
2018106896,2021/06/27,1札幌6,晴,1.0,3歳未勝利,,16.0,8.0,16,107.3,15,16,加藤祥太,54,芝1200,良,**,1:12.6,4.2,**,3-6,33.5-34.9,39.0,422(-6),,,クレマチステソーロ,,,,,,,
2018106896,2021/06/12,1札幌1,小雨,1.0,3歳未勝利,,16.0,6.0,12,95.4,13,14,加藤祥太,54,芝1200,良,**,1:09.9,1.2,**,9-9,33.8-34.9,35.2,428(+16),,,ディーバサンライズ,,,,,,,
2018106896,2021/02/13,2小倉1,晴,6.0,3歳未勝利,,18.0,7.0,13,87.2,12,5,森裕太朗,53,芝1200,良,**,1:09.2,0.5,**,9-9,33.3-35.4,35.3,412(-16),,,ジョーレイラニ,51.0,,,,,,
2018106896,2020/12/06,3中京2,晴,5.0,2歳新馬,,14.0,8.0,13,187.4,13,7,森裕太朗,53,芝1400,良,**,1:22.6,1.7,**,7-8,33.7-35.6,35.8,428(0),,,ヤマニンルリュール,,,,,,,
2018104780,2022/03/06,1阪神8,晴,8.0,4歳以上1勝クラス,,16.0,7.0,14,16.8,7,15,川島信二,57,ダ1200,良,**,1:14.3,1.7,**,9-9,34.8-37.8,38.4,452(+2),,,メイショウミズモ,,,,,,,
2018104780,2022/02/13,2小倉2,小雨,6.0,4歳以上1勝クラス,,18.0,8.0,18,24.9,10,12,古川吉洋,57,芝1200,稍,**,1:10.4,1.1,**,9-10,33.9-35.4,36.0,450(+8),,,バトーデュシエル,,,,,,,
2018104780,2021/08/17,名古屋,雨,10.0,名古屋CCラズベリー,,10.0,7.0,8,3.9,2,1,岡部誠,56,ダ1400,不,**,1:27.7,-1.9,**,2-1-1,0.0-37.5,37.5,442(+2),,,(サプライズギフト),60.0,,,,,,
2018104780,2021/07/11,1函館4,曇,2.0,3歳未勝利,,16.0,4.0,8,18.2,6,16,菱田裕二,56,芝1200,稍,**,1:12.1,2.0,**,1-1,34.1-36.0,38.0,440(+4),,,ジュノエスク,,,,,,,
2018104780,2021/06/12,1札幌1,小雨,1.0,3歳未勝利,,16.0,1.0,1,10.4,6,15,菱田裕二,56,芝1200,良,**,1:10.2,1.5,**,7-7,33.8-34.9,35.8,436(0),,,ディーバサンライズ,,,,,,,
2018104780,2021/05/22,2新潟5,晴,5.0,3歳未勝利,,15.0,8.0,15,5.6,3,2,菱田裕二,56,芝1200,重,**,1:11.4,0.2,**,7-6,33.8-37.4,36.5,436(-14),,,クインズムーン,200.0,,,,,,
2018104780,2021/03/06,1阪神7,曇,2.0,3歳未勝利,,16.0,7.0,13,3.4,2,9,松山弘平,56,ダ1200,稍,**,1:14.4,2.1,**,2-2,34.6-37.7,39.6,450(+2),,,ロコポルティ,,,,,,,
2018104780,2021/02/14,2小倉2,晴,2.0,3歳未勝利,,18.0,7.0,13,2.7,1,4,川島信二,56,芝1200,良,**,1:08.4,0.2,**,5-5,32.4-35.8,35.0,448(-4),,,タガノスペルノヴァ,77.0,,,,,,
2018104780,2021/01/16,1小倉1,曇,2.0,3歳未勝利,,18.0,1.0,2,3.6,1,4,川島信二,56,芝1200,良,**,1:08.0,0.9,**,4-5,33.2-33.9,34.5,452(-2),,,スティクス,77.0,,,,,,
2018104780,2020/11/14,5阪神3,晴,3.0,2歳未勝利,,15.0,7.0,12,7.0,4,3,川島信二,55,芝1200,良,**,1:09.1,0.3,**,6-4,34.4-34.4,34.2,454(+4),,,テイエムトッキュウ,130.0,,,,,,
2018104780,2020/11/01,4京都8,曇,5.0,2歳新馬,,18.0,2.0,3,29.6,10,4,川島信二,55,芝1400,良,**,1:23.3,0.3,**,6-5,35.9-35.1,35.1,450(0),,,ララクリスティーヌ,110.0,,,,,,
2018100737,2021/07/07,門別,曇,9.0,3歳以上C4ー4,,12.0,8.0,11,2.2,1,3,服部茂史,54,ダ1200,不,**,1:13.6,1.1,**,2-2,0.0-36.4,37.3,494(-10),,,スカイトライア,6.3,,,,,,
2018100737,2021/06/12,1札幌1,小雨,1.0,3歳未勝利,,16.0,8.0,16,69.9,12,16,岩田康誠,54,芝1200,良,**,1:12.3,3.6,**,16-16,33.8-34.9,36.4,504(+2),,,ディーバサンライズ,,,,,,,
2018100737,2021/04/10,1新潟1,晴,1.0,3歳未勝利,,15.0,1.0,1,18.8,6,11,丹内祐次,54,ダ1200,良,**,1:15.6,2.7,**,4-5,34.9-38.0,40.2,502(+2),,,テオドラ,,,,,,,
2018100737,2021/03/28,3中山2,曇,3.0,3歳未勝利,,16.0,4.0,7,28.6,8,5,木幡巧也,54,ダ1200,良,**,1:14.4,1.1,**,2-2,35.3-38.0,39.0,500(-10),,,カツノサンキュウ,51.0,,,,,,
2018100737,2021/01/11,1中山4,曇,1.0,3歳未勝利,,16.0,8.0,16,30.0,6,8,木幡巧也,54,ダ1200,良,**,1:14.7,1.5,**,3-3,34.9-38.3,39.5,510(+6),,,トップヴィヴィット,,,,,,,
2018100737,2020/11/14,5東京3,晴,1.0,2歳未勝利,,12.0,8.0,12,6.2,3,8,木幡巧也,54,ダ1600,良,**,1:42.9,3.1,**,6-5,36.2-38.2,40.8,504(-2),,,マサハヤサン,,,,,,,
2018100737,2020/10/18,4東京4,晴,4.0,2歳新馬,,18.0,6.0,12,6.4,3,13,木幡巧也,54,芝1400,重,**,1:26.1,2.5,**,3-3,36.8-34.7,36.8,506(0),,,ベッラノーヴァ,,,,,,,
2018105205,2022/03/20,1阪神12,曇,12.0,4歳以上2勝クラス,,16.0,2.0,4,144.6,16,10,酒井学,55,ダ1800,重,**,1:54.0,1.9,**,13-13-12-12,36.4-38.6,39.2,482(-2),,,ラズルダズル,,,,,,,
2018105205,2022/02/27,1阪神6,晴,8.0,4歳以上2勝クラス,,14.0,5.0,8,94.3,12,7,酒井学,54,ダ1800,良,**,1:56.3,0.8,**,6-6-6-4,38.3-38.2,38.2,484(+8),,,ペプチドヒミコ,,,,,,,
2018105205,2021/12/19,6阪神6,晴,8.0,3歳以上2勝クラス,,10.0,8.0,10,9.8,3,7,武豊,54,ダ1800,稍,**,1:53.8,1.2,**,9-9-9-7,36.9-37.7,38.1,476(+6),,,ワンダーシエンプロ,,,,,,,
2018105205,2021/11/21,5阪神6,晴,8.0,3歳以上2勝クラス,,14.0,2.0,2,36.9,9,4,武豊,53,ダ1800,良,**,1:53.9,0.1,**,11-10-12-9,37.0-38.6,37.7,470(-6),,,ベルゼール,170.0,,,,,,
2018105205,2021/10/31,5新潟8,晴,12.0,おけさ特別(2勝クラス),,15.0,6.0,10,16.7,5,9,菱田裕二,53,ダ1800,良,**,1:53.4,1.7,**,15-15-13-12,36.1-38.0,38.7,476(0),,,タマモパッション,,,,,,,
2018105205,2021/09/25,4中山6,曇,12.0,3歳以上2勝クラス,,16.0,1.0,1,13.7,6,4,横山武史,52,ダ1800,良,**,1:53.8,0.7,**,8-7-7-6,36.8-38.5,38.4,476(-4),,,スノームーン,170.0,,,,,,
2018105205,2021/09/04,2札幌7,晴,6.0,3歳以上1勝クラス,,14.0,6.0,10,3.8,1,1,武豊,52,ダ1700,良,**,1:46.5,-0.1,**,9-9-8-7,30.6-38.5,37.6,480(+2),,,(クーファイザナミ),760.0,,,,,,
2018105205,2021/08/21,2札幌3,晴,9.0,3歳以上1勝クラス,,12.0,5.0,6,5.8,3,2,吉田隼人,52,ダ1700,良,**,1:47.0,1.1,**,6-6-9-6,30.5-37.4,37.7,478(+6),,,ペプチドヒミコ,300.0,,,,,,
2018105205,2021/06/27,1札幌6,晴,8.0,3歳以上1勝クラス,,13.0,8.0,12,6.4,3,5,藤岡佑介,52,ダ1700,良,**,1:48.1,1.1,**,7-7-6-6,30.3-39.4,39.7,472(-4),,,ペイシャクェーサー,76.0,,,,,,
2018105205,2021/06/12,1札幌1,曇,2.0,3歳未勝利,,14.0,1.0,1,2.4,1,1,武豊,54,ダ1700,良,**,1:48.3,-0.4,**,12-10-9-5,30.2-38.7,37.7,476(+8),,,(デルマフゲン),510.0,,,,,,
2018105205,2021/04/17,2阪神7,雨,2.0,3歳未勝利,,16.0,4.0,7,7.6,3,3,角田大和,51,ダ1400,不,**,1:25.5,0.7,**,4-4,34.9-37.5,37.9,468(+2),,,ワンダーイチョウ,130.0,,,,,,
2018105205,2021/04/03,2阪神3,晴,1.0,3歳未勝利,,16.0,1.0,1,8.2,4,3,池添謙一,54,ダ1400,良,**,1:26.2,0.8,**,7-6,35.3-37.6,37.9,466(0),,,メイショウホシアイ,130.0,,,,,,
2018105205,2021/03/21,2中京4,雨,4.0,3歳未勝利,,15.0,4.0,6,6.7,5,4,角田大和,51,ダ1400,不,**,1:24.9,1.0,**,5-6,33.9-38.4,38.8,466(-2),,,トーセンアラン,77.0,,,,,,
2018105205,2021/02/13,2小倉1,曇,2.0,3歳未勝利,,16.0,8.0,16,13.7,6,4,藤岡康太,54,芝2000,良,**,2:01.3,1.0,**,3-3-3-3,35.7-36.5,37.2,468(-2),,,ファジェス,77.0,,,,,,
2018105205,2021/01/24,1小倉4,曇,2.0,3歳未勝利,,13.0,6.0,8,15.7,6,3,団野大成,53,芝1800,重,**,1:51.3,0.2,**,2-2-2-2,36.3-38.0,38.1,470(+12),,,キュンストラー,130.0,,,,,,
2018105205,2020/09/06,2札幌8,晴,1.0,2歳未勝利,,16.0,5.0,9,51.3,11,8,菱田裕二,54,芝2000,良,**,2:03.9,1.0,**,10-12-10-9,35.5-36.8,37.1,458(-10),,,ミルウ,,,,,,,
2018105205,2020/07/12,2函館4,曇,5.0,2歳新馬,,7.0,5.0,5,10.5,4,7,藤岡佑介,54,芝1800,良,**,1:52.9,2.5,**,3-3-3-4,37.5-35.3,37.6,468(0),,,ソダシ,,,,,,,
2018100974,2022/03/29,高知,曇,6.0,中根秀樹五十一才特別,,9.0,8.0,9,1.9,1,2,宮川実,54,ダ1400,重,**,1:32.2,0.6,**,3-3-3-2,0.0-40.1,40.3,470(+5),,,キングワールド,35.0,,,,,,
2018100974,2022/03/16,高知,晴,8.0,四国の畜産物特別,,11.0,5.0,6,3.3,2,4,吉原寛人,54,ダ1400,良,**,1:34.4,1.2,**,7-7-8-6,0.0-40.6,40.5,465(-6),,,ヒガシリシャール,10.5,,,,,,
2018100974,2022/03/02,高知,晴,9.0,長浜城特別,,9.0,2.0,2,39.7,7,8,妹尾浩一,54,ダ1400,重,**,1:33.2,2.0,**,6-6-8-8,0.0-39.8,40.2,471(+6),,,トウカイラルゴ,,,,,,,
2018100974,2022/02/09,高知,晴,9.0,第15回嫉妬の炎特別,,11.0,3.0,3,3.1,1,1,吉原寛人,54,ダ1400,稍,**,1:32.4,-0.4,**,2-2-2-2,0.0-39.1,39.0,465(-4),,,(タイムオブザーバー),70.0,,,,,,
2018100974,2022/01/26,高知,晴,9.0,白山洞門特別,,8.0,5.0,5,6.6,3,8,吉原寛人,54,ダ1400,不,**,1:33.4,1.6,**,4-4-6-8,0.0-39.5,40.6,469(+1),,,セイウンオフロード,,,,,,,
2018100974,2022/01/12,高知,晴,6.0,C1ー4,,10.0,2.0,2,1.4,1,1,吉原寛人,54,ダ1600,稍,**,1:48.9,-0.5,**,1-1-1-1,0.0-40.4,40.4,468(-2),,,(レモンフェイヴァー),70.0,,,,,,
2018100974,2021/12/12,高知,晴,6.0,TT結婚13周年特別,,12.0,4.0,4,3.5,2,3,宮川実,54,ダ1400,重,**,1:32.5,0.5,**,4-4-2-3,0.0-39.7,39.8,470(-2),,,アイメイドイット,14.0,,,,,,
2018100974,2021/11/27,高知,晴,11.0,小雪特別,,12.0,1.0,1,9.2,6,2,宮川実,54,ダ1400,重,**,1:32.4,0.6,**,4-5-6-2,0.0-40.2,39.9,472(+2),,,ナムラゴロー,38.5,,,,,,
2018100974,2021/11/13,高知,晴,9.0,C2ー4,,11.0,7.0,8,5.4,3,1,宮川実,54,ダ1600,重,**,1:47.6,-0.2,**,2-2-2-1,0.0-40.4,40.4,470(-3),,,(ダンスメーカー),60.0,,,,,,
2018100974,2021/10/30,高知,晴,11.0,ハロウィン特別,,12.0,5.0,5,4.6,2,12,宮川実,54,ダ1300,稍,**,1:26.8,3.4,**,3-4-4-10,0.0-39.6,42.0,473(+7),,,コウエイバクシン,,,,,,,
2018100974,2021/10/02,高知,晴,8.0,C2ー5,,11.0,6.0,6,1.9,1,2,宮川実,54,ダ1400,良,**,1:33.6,0.0,**,1-1-1-1,0.0-41.0,41.0,466(-8),,,エイシンマゼラン,21.0,,,,,,
2018100974,2021/09/05,4新潟8,曇,3.0,3歳未勝利,,15.0,2.0,3,14.6,6,12,三浦皇成,54,ダ1800,稍,**,1:57.3,3.8,**,1-1-1-2,35.3-39.6,43.4,474(+2),,,テイエムアトム,,,,,,,
2018100974,2021/08/28,4新潟5,曇,3.0,3歳未勝利,,15.0,6.0,11,4.4,2,3,三浦皇成,54,ダ1800,良,**,1:55.6,1.3,**,4-3-3-3,38.0-38.9,40.0,472(+8),,,キングスフィリア,130.0,,,,,,
2018100974,2021/07/24,3新潟1,晴,4.0,3歳未勝利,,15.0,3.0,4,10.4,5,7,菅原明良,54,ダ1800,良,**,1:55.1,1.7,**,1-1-1-1,36.8-38.7,40.4,464(-4),,,ヒシカムイ,,,,,,,
2018100974,2021/07/11,1福島4,小雨,2.0,3歳未勝利,,15.0,7.0,13,6.7,4,2,菅原明良,53,ダ1700,重,**,1:46.2,0.5,**,1-1-1-1,29.6-38.5,39.0,468(0),,,アラゴナイト,200.0,,,,,,
2018100974,2021/06/27,1札幌6,晴,2.0,3歳未勝利,,11.0,6.0,6,6.6,3,3,菊沢一樹,54,ダ1700,良,**,1:48.9,0.8,**,5-5-4-4,30.5-38.5,39.0,468(+8),,,ドリームアゲイン,130.0,,,,,,
2018100974,2021/06/12,1札幌1,曇,2.0,3歳未勝利,,14.0,8.0,14,9.8,5,2,菊沢一樹,54,ダ1700,良,**,1:48.7,0.4,**,2-2-2-1,30.2-38.7,39.1,460(+12),,,ペイルライダー,200.0,,,,,,
2018100974,2021/04/18,3中山8,晴,1.0,3歳未勝利,,15.0,4.0,6,10.6,6,12,木幡巧也,54,ダ1800,不,**,1:56.3,3.1,**,6-7-7-9,35.7-38.5,41.0,448(0),,,ペイシャクェーサー,,,,,,,
2018100974,2021/03/27,3中山1,晴,1.0,3歳未勝利,,16.0,2.0,3,12.7,6,4,内田博幸,54,ダ1800,良,**,1:57.1,0.3,**,1-1-1-1,38.0-38.6,38.9,448(0),,,クロフネミッション,77.0,,,,,,
2018100974,2021/03/06,2中山3,曇,1.0,3歳未勝利,,16.0,8.0,15,20.0,6,4,木幡巧也,54,ダ1800,稍,**,1:57.4,0.7,**,2-2-2-2,37.9-39.9,40.6,448(-14),,,ラレイナ,77.0,,,,,,
2018100974,2021/01/24,1中山8,雨,2.0,3歳未勝利,,14.0,1.0,1,10.4,7,10,木幡巧也,54,ダ1800,不,**,1:58.7,3.6,**,3-2-4-8,37.6-39.5,42.6,462(0),,,デリシュレーヌ,,,,,,,
2018100974,2021/01/10,1中山3,晴,2.0,3歳未勝利,,16.0,8.0,15,20.1,5,3,木幡巧也,54,ダ1800,良,**,1:58.7,0.8,**,3-3-3-3,38.3-40.1,40.7,462(0),,,フローズンカクテル,130.0,,,,,,
2018100974,2020/12/13,5中山4,晴,6.0,2歳新馬,,15.0,8.0,14,56.8,12,4,木幡巧也,54,ダ1800,良,**,1:59.2,1.5,**,7-7-7-7,39.0-38.6,39.4,462(0),,,カフェプリンセス,110.0,,,,,,
2018104870,2021/06/20,1札幌4,曇,2.0,3歳未勝利,,12.0,2.0,2,6.2,3,6,泉谷楓真,52,ダ1700,重,**,1:48.2,2.3,**,5-4-3-4,30.8-38.1,39.6,446(+2),,,スズカマクフィ,,,,,,,
2018104870,2021/06/12,1札幌1,曇,2.0,3歳未勝利,,14.0,5.0,8,15.2,7,3,泉谷楓真,52,ダ1700,良,**,1:48.9,0.6,**,4-4-3-3,30.2-38.7,39.0,444(+10),,,ペイルライダー,130.0,,,,,,
2018104870,2021/05/16,2新潟4,曇,1.0,3歳未勝利,,16.0,8.0,15,35.3,8,7,勝浦正樹,54,芝1600,良,**,1:36.0,1.4,**,10-10,35.5-35.7,35.3,434(+6),,,サザンナイツ,,,,,,,
2018104870,2020/06/07,3阪神2,晴,5.0,2歳新馬,,12.0,5.0,5,53.5,10,8,団野大成,53,芝1400,良,**,1:23.5,1.5,**,8-7,35.8-34.2,35.2,428(0),,,アスコルターレ,,,,,,,
2018106453,2022/04/06,川崎,晴,7.0,アフロディーテ賞,,13.0,4.0,4,26.8,8,8,岡村裕基,54,ダ2000,重,**,2:16.1,1.2,**,9-9-9-6,38.2-41.9,42.7,482(0),,,ミッキーハッスル,,,,,,,
2018106453,2022/03/03,川崎,晴,12.0,蓮華草賞,,13.0,5.0,7,53.5,9,8,岡村裕基,54,ダ1500,良,**,1:37.4,1.6,**,11-11-6-11,29.9-39.0,39.4,482(-1),,,リーチアディール,,,,,,,
2018106453,2022/02/01,川崎,晴,12.0,王者の眼差し賞,,14.0,3.0,4,16.5,5,5,岡村裕基,54,ダ1500,良,**,1:37.2,0.7,**,7-7-9-7,30.5-40.1,39.9,483(-2),,,シダデカサドール,12.0,,,,,,
2018106453,2022/01/03,川崎,晴,9.0,宝船賞,,14.0,6.0,10,77.9,10,2,岡村裕基,54,ダ1500,良,**,1:36.9,0.5,**,13-13-5-3,29.1-40.9,40.3,485(+1),,,ヒズライフ,39.0,,,,,,
2018106453,2021/12/17,川崎,曇,12.0,43rdホワイトクリ,,13.0,7.0,10,9.2,5,6,岡村裕基,55,ダ1600,不,**,1:46.4,1.0,**,10-10-4-6,37.9-41.3,42.0,484(-5),,,グリュレーヴ,,,,,,,
2018106453,2021/11/10,川崎,晴,8.0,楓賞,,14.0,1.0,1,49.3,9,3,岡村裕基,54,ダ1500,重,**,1:37.5,0.1,**,12-12-6-6,29.4-41.6,40.2,489(-4),,,サヨノイチバン,30.0,,,,,,
2018106453,2021/10/15,川崎,晴,9.0,メデューサ賞,,14.0,5.0,7,22.9,7,10,岡村裕基,54,ダ2000,良,**,2:14.2,2.6,**,10-9-10-10,38.6-40.8,41.9,493(+11),,,グレイトムーン,,,,,,,
2018106453,2021/09/04,2札幌7,晴,4.0,3歳未勝利,,14.0,6.0,9,20.3,8,6,大野拓弥,54,ダ1700,良,**,1:48.6,2.1,**,11-11-12-11,30.0-38.1,38.7,482(+8),,,レスペディーザ,,,,,,,
2018106453,2021/07/31,1函館9,曇,2.0,3歳未勝利,,13.0,7.0,10,6.5,3,13,泉谷楓真,53,ダ1700,良,**,1:50.3,2.8,**,7-7-8-11,31.2-38.4,40.4,474(-2),,,パルクールラン,,,,,,,
2018106453,2021/06/27,1札幌6,晴,2.0,3歳未勝利,,11.0,6.0,7,7.6,4,4,大野拓弥,54,ダ1700,良,**,1:48.9,0.8,**,9-9-7-7,30.5-38.5,38.6,476(+8),,,ドリームアゲイン,77.0,,,,,,
2018106453,2021/06/12,1札幌1,曇,2.0,3歳未勝利,,14.0,3.0,4,4.0,2,4,大野拓弥,54,ダ1700,良,**,1:49.0,0.7,**,12-13-3-3,30.2-38.7,39.0,468(0),,,ペイルライダー,77.0,,,,,,
2018106453,2021/05/22,2東京9,曇,1.0,3歳未勝利,,15.0,2.0,3,4.4,2,3,柴田善臣,54,ダ1600,稍,**,1:40.1,0.7,**,10-6,35.8-37.7,37.7,468(-2),,,ベストシンガー,130.0,,,,,,
2018106453,2021/02/07,1東京4,晴,3.0,3歳未勝利,,15.0,6.0,11,34.3,10,3,田中勝春,54,ダ1600,良,**,1:40.5,0.1,**,14-11,36.0-38.8,38.0,470(+6),,,サクラカレント,130.0,,,,,,
2018106453,2021/01/17,1中山6,曇,4.0,3歳新馬,,15.0,8.0,16,24.5,8,5,柴田善臣,54,ダ1800,良,**,1:59.6,0.4,**,10-10-7-5,39.0-40.0,39.8,464(0),,,コズミックマインド,60.0,,,,,,
2018100926,2021/06/12,1札幌1,曇,2.0,3歳未勝利,,14.0,7.0,11,7.3,3,5,横山武史,54,ダ1700,良,**,1:49.2,0.9,**,5-5-5-5,30.2-38.7,38.9,442(+2),,,ペイルライダー,51.0,,,,,,
2018100926,2021/05/22,3中京5,曇,1.0,3歳未勝利,,16.0,8.0,16,25.8,9,5,横山典弘,54,ダ1800,不,**,1:53.7,0.7,**,8-9-11-11,36.5-38.8,38.8,440(-10),,,ジョリーブレス,51.0,,,,,,
2018100926,2021/04/25,2阪神10,晴,5.0,3歳未勝利,,15.0,4.0,7,12.6,5,14,福永祐一,54,芝2000,良,**,2:03.4,3.1,**,4-5-3-5,37.3-34.8,37.5,450(0),,,ジャックドール,,,,,,,
2018102052,2021/09/05,2札幌8,晴,3.0,3歳未勝利,,14.0,6.0,9,22.4,8,7,国分恭介,54,ダ1700,稍,**,1:47.4,2.2,**,10-7-9-7,30.5-37.6,38.6,508(+8),,,イシュタル,,,,,,,
2018102052,2021/08/21,2札幌3,晴,3.0,3歳未勝利,,14.0,5.0,8,59.6,11,2,国分恭介,54,ダ1700,良,**,1:47.3,0.0,**,9-7-6-4,29.7-39.4,38.8,500(+6),,,ルージュブラン,200.0,,,,,,
2018102052,2021/07/10,1函館3,曇,4.0,3歳未勝利,,14.0,3.0,4,77.8,10,11,泉谷楓真,53,ダ1700,良,**,1:48.9,2.9,**,8-9-7-7,30.0-38.7,40.1,494(-4),,,ギャリエノワール,,,,,,,
2018102052,2021/06/27,1札幌6,晴,6.0,3歳未勝利,,13.0,7.0,10,43.8,8,5,泉谷楓真,52,ダ1700,良,**,1:50.2,0.8,**,3-3-2-1,31.1-40.7,41.5,498(+2),,,マテンロウスタイル,51.0,,,,,,
2018102052,2021/06/12,1札幌1,曇,2.0,3歳未勝利,,14.0,6.0,10,63.0,9,6,鮫島克駿,54,ダ1700,良,**,1:49.6,1.3,**,10-10-1-2,30.2-38.7,40.0,496(+8),,,ペイルライダー,,,,,,,
2018102052,2021/04/17,1新潟3,小雨,1.0,3歳未勝利,,15.0,4.0,7,5.6,3,10,古川奈穂,50,ダ1800,稍,**,1:58.8,1.2,**,11-10-13-13,37.8-39.8,39.2,488(-6),,,ゴールドジャーニー,,,,,,,
2018102052,2021/03/28,3中山2,曇,2.0,3歳未勝利,,16.0,6.0,11,88.1,12,6,小林脩斗,51,ダ1800,良,**,1:56.9,2.8,**,9-10-9-10,36.9-38.4,40.1,494(-4),,,ノーブルシルエット,,,,,,,
2018102052,2021/03/06,2中山3,曇,1.0,3歳未勝利,,16.0,5.0,9,42.2,9,6,藤岡康太,54,ダ1800,稍,**,1:58.3,1.6,**,14-14-10-7,37.9-39.9,40.8,498(0),,,ラレイナ,,,,,,,
2018102052,2021/01/31,1東京2,晴,3.0,3歳未勝利,,16.0,2.0,3,108.1,12,9,酒井学,54,ダ1600,重,**,1:40.2,1.4,**,6-6,35.6-37.8,38.6,498(+4),,,パラノイド,,,,,,,
